dispatching_base_number,date,active_vehicles,trips,pickup_datetime,year,month,day,hour,weekday,is_weekend
B02764,2015-02-08,3422,29692,2015-02-08,2015,2,8,0,Sunday,True
B02765,2015-02-08,313,2623,2015-02-08,2015,2,8,0,Sunday,True
B02598,2015-02-08,923,8129,2015-02-08,2015,2,8,0,Sunday,True
B02617,2015-02-08,1256,11004,2015-02-08,2015,2,8,0,Sunday,True
B02682,2015-02-08,1136,10356,2015-02-08,2015,2,8,0,Sunday,True
B02512,2015-02-08,176,1196,2015-02-08,2015,2,8,0,Sunday,True
B02617,2015-02-09,1312,10887,2015-02-09,2015,2,9,0,Monday,False
B02682,2015-02-09,1241,10209,2015-02-09,2015,2,9,0,Monday,False
B02598,2015-02-09,976,8135,2015-02-09,2015,2,9,0,Monday,False
B02764,2015-02-09,3543,28266,2015-02-09,2015,2,9,0,Monday,False
B02512,2015-02-09,228,1565,2015-02-09,2015,2,9,0,Monday,False
B02765,2015-02-09,388,2894,2015-02-09,2015,2,9,0,Monday,False
B02764,2015-02-10,3700,29124,2015-02-10,2015,2,10,0,Tuesday,False
B02512,2015-02-10,233,1555,2015-02-10,2015,2,10,0,Tuesday,False
B02617,2015-02-10,1364,11401,2015-02-10,2015,2,10,0,Tuesday,False
B02765,2015-02-10,422,3432,2015-02-10,2015,2,10,0,Tuesday,False
B02682,2015-02-10,1281,10536,2015-02-10,2015,2,10,0,Tuesday,False
B02598,2015-02-10,1029,8718,2015-02-10,2015,2,10,0,Tuesday,False
B02617,2015-02-11,1450,12749,2015-02-11,2015,2,11,0,Wednesday,False
B02764,2015-02-11,3849,31889,2015-02-11,2015,2,11,0,Wednesday,False
B02512,2015-02-11,255,1831,2015-02-11,2015,2,11,0,Wednesday,False
B02598,2015-02-11,1115,10034,2015-02-11,2015,2,11,0,Wednesday,False
B02765,2015-02-11,450,3778,2015-02-11,2015,2,11,0,Wednesday,False
B02682,2015-02-11,1396,12189,2015-02-11,2015,2,11,0,Wednesday,False
B02617,2015-02-12,1532,14263,2015-02-12,2015,2,12,0,Thursday,False
B02512,2015-02-12,269,2092,2015-02-12,2015,2,12,0,Thursday,False
B02682,2015-02-12,1468,13786,2015-02-12,2015,2,12,0,Thursday,False
B02765,2015-02-12,536,4609,2015-02-12,2015,2,12,0,Thursday,False
B02598,2015-02-12,1181,11640,2015-02-12,2015,2,12,0,Thursday,False
B02764,2015-02-12,4137,36844,2015-02-12,2015,2,12,0,Thursday,False
B02617,2015-02-13,1590,16996,2015-02-13,2015,2,13,0,Friday,False
B02682,2015-02-13,1523,16088,2015-02-13,2015,2,13,0,Friday,False
B02764,2015-02-13,4395,43561,2015-02-13,2015,2,13,0,Friday,False
B02765,2015-02-13,599,5909,2015-02-13,2015,2,13,0,Friday,False
B02512,2015-02-13,281,2408,2015-02-13,2015,2,13,0,Friday,False
B02598,2015-02-13,1216,13062,2015-02-13,2015,2,13,0,Friday,False
